service_id,date,exception_type
RJUN15-804-1_Weekday-91,20150730,2
RJUN15-804-1_Weekday-91,20150803,2
RJUN15-804-1_Weekday-91,20150804,2
RJUN15-804-1_Weekday-91,20150805,2
RJUN15-804-1_Weekday-91,20150806,2
RJUN15-804-1_Weekday-91,20150810,2
RJUN15-804-1_Weekday-91,20150811,2
RJUN15-804-1_Weekday-91,20150812,2
RJUN15-804-1_Weekday-91,20150813,2
RJUN15-804-1_Weekday-91,20150817,2
RJUN15-804-1_Weekday-91,20150818,2
RJUN15-804-1_Weekday-91,20150819,2
RJUN15-804-1_Weekday-91,20150820,2
RJUN15-804-1_Weekday-91,20150824,2
RJUN15-804-1_Weekday-91,20150825,2
RJUN15-804-1_Weekday-91,20150826,2
RJUN15-804-1_Weekday-91,20150827,2
RJUN15-804-1_Weekday-91,20150831,2
RJUN15-804-1_Weekday-91,20150901,2
RJUN15-804-1_Weekday-91,20150902,2
RJUN15-804-1_Weekday-91,20150903,2
RJUN15-804-1_Weekday-91,20150907,2
RJUN15-804-1_Weekday-91,20150908,2
RJUN15-804-1_Weekday-91,20150909,2
RJUN15-804-1_Weekday-91,20150910,2
RJUN15-804-1_Weekday-91,20150914,2
RJUN15-804-1_Weekday-91,20150915,2
RJUN15-804-1_Weekday-91,20150916,2
RJUN15-804-1_Weekday-91,20150917,2
RJUN15-804-1_Weekday-91,20150921,2
RJUN15-804-1_Weekday-91,20150922,2
RJUN15-804-1_Weekday-91,20150923,2
RJUN15-804-1_Weekday-91,20150924,2
RJUN15-804-1_Weekday-91,20150928,2
RJUN15-804-1_Weekday-91,20150929,2
RJUN15-804-1_Weekday-91,20150930,2
RJUN15-804-1_Weekday-91,20151001,2
RJUN15-804-1_Weekday-91,20151005,2
RJUN15-804-1_Weekday-91,20151006,2
RJUN15-804-1_Weekday-91,20151007,2
RJUN15-804-1_Weekday-91,20151008,2
RJUN15-804-1_Weekday-91,20151012,2
RJUN15-804-1_Weekday-91,20151013,2
RJUN15-804-1_Weekday-91,20151014,2
RJUN15-804-1_Weekday-91,20151015,2
RJUN15-804-1_Weekday-91,20151019,2
RJUN15-804-1_Weekday-91,20151020,2
RJUN15-804-1_Weekday-91,20151021,2
RJUN15-804-1_Weekday-91,20151022,2
RJUN15-804-1_Weekday-91,20151026,2
RJUN15-804-1_Weekday-91,20151027,2
RJUN15-804-1_Weekday-91,20151028,2
RJUN15-804-1_Weekday-91,20151029,2
RJUN15-804-1_Weekday-91,20151102,2
RJUN15-804-1_Weekday-91,20151103,2
RJUN15-804-1_Weekday-91,20151104,2
RJUN15-804-1_Weekday-91,20151105,2
RJUN15-804-1_Weekday-91,20151109,2
RJUN15-804-1_Weekday-91,20151110,2
RJUN15-804-1_Weekday-91,20151111,2
RJUN15-804-1_Weekday-91,20151112,2
RJUN15-804-1_Weekday-91,20151116,2
RJUN15-804-1_Weekday-91,20151117,2
RJUN15-804-1_Weekday-91,20151118,2
RJUN15-804-1_Weekday-91,20151119,2
RJUN15-804-1_Weekday-91,20151123,2
RJUN15-804-1_Weekday-91,20151124,2
RJUN15-804-1_Weekday-91,20151125,2
RJUN15-804-1_Weekday-91,20151126,2
RJUN15-804-1_Weekday-91,20151130,2
RJUN15-804-1_Weekday-91,20151201,2
RJUN15-804-1_Weekday-91,20151202,2
RJUN15-804-1_Weekday-91,20151203,2
RJUN15-804-1_Weekday-91,20151207,2
RJUN15-804-1_Weekday-91,20151208,2
RJUN15-804-1_Weekday-91,20151209,2
RJUN15-804-1_Weekday-91,20151210,2
RJUN15-803-2_Saturday-90,20150704,1
RJUN15-803-3_Sunday-90,20150907,1
RJUN15-803-3_Sunday-90,20151126,1
RJUN15-803-1_Weekday-90,20150703,2
RJUN15-803-1_Weekday-90,20150710,2
RJUN15-803-1_Weekday-90,20150717,2
RJUN15-803-1_Weekday-90,20150724,2
RJUN15-803-1_Weekday-90,20150731,2
RJUN15-803-1_Weekday-90,20150807,2
RJUN15-803-1_Weekday-90,20150814,2
RJUN15-803-1_Weekday-90,20150821,2
RJUN15-803-1_Weekday-90,20150828,2
RJUN15-803-1_Weekday-90,20150904,2
RJUN15-803-1_Weekday-90,20150907,2
RJUN15-803-1_Weekday-90,20150911,2
RJUN15-803-1_Weekday-90,20150918,2
RJUN15-803-1_Weekday-90,20150925,2
RJUN15-803-1_Weekday-90,20151002,2
RJUN15-803-1_Weekday-90,20151009,2
RJUN15-803-1_Weekday-90,20151016,2
RJUN15-803-1_Weekday-90,20151023,2
RJUN15-803-1_Weekday-90,20151030,2
RJUN15-803-1_Weekday-90,20151106,2
RJUN15-803-1_Weekday-90,20151113,2
RJUN15-803-1_Weekday-90,20151120,2
RJUN15-803-1_Weekday-90,20151126,2
RJUN15-803-1_Weekday-90,20151127,2
RJUN15-803-1_Weekday-90,20151204,2
RJUN15-803-1_Weekday-91,20150706,2
RJUN15-803-1_Weekday-91,20150707,2
RJUN15-803-1_Weekday-91,20150708,2
RJUN15-803-1_Weekday-91,20150709,2
RJUN15-803-1_Weekday-91,20150713,2
RJUN15-803-1_Weekday-91,20150714,2
RJUN15-803-1_Weekday-91,20150715,2
RJUN15-803-1_Weekday-91,20150716,2
RJUN15-803-1_Weekday-91,20150720,2
RJUN15-803-1_Weekday-91,20150721,2
RJUN15-803-1_Weekday-91,20150722,2
RJUN15-803-1_Weekday-91,20150723,2
RJUN15-803-1_Weekday-91,20150727,2
RJUN15-803-1_Weekday-91,20150728,2
RJUN15-803-1_Weekday-91,20150729,2
RJUN15-803-1_Weekday-91,20150730,2
RJUN15-803-1_Weekday-91,20150803,2
RJUN15-803-1_Weekday-91,20150804,2
RJUN15-803-1_Weekday-91,20150805,2
RJUN15-803-1_Weekday-91,20150806,2
RJUN15-803-1_Weekday-91,20150810,2
RJUN15-803-1_Weekday-91,20150811,2
RJUN15-803-1_Weekday-91,20150812,2
RJUN15-803-1_Weekday-91,20150813,2
RJUN15-803-1_Weekday-91,20150817,2
RJUN15-803-1_Weekday-91,20150818,2
RJUN15-803-1_Weekday-91,20150819,2
RJUN15-803-1_Weekday-91,20150820,2
RJUN15-803-1_Weekday-91,20150824,2
RJUN15-803-1_Weekday-91,20150825,2
RJUN15-803-1_Weekday-91,20150826,2
RJUN15-803-1_Weekday-91,20150827,2
RJUN15-803-1_Weekday-91,20150831,2
RJUN15-803-1_Weekday-91,20150901,2
RJUN15-803-1_Weekday-91,20150902,2
RJUN15-803-1_Weekday-91,20150903,2
RJUN15-803-1_Weekday-91,20150907,2
RJUN15-803-1_Weekday-91,20150908,2
RJUN15-803-1_Weekday-91,20150909,2
RJUN15-803-1_Weekday-91,20150910,2
RJUN15-803-1_Weekday-91,20150914,2
RJUN15-803-1_Weekday-91,20150915,2
RJUN15-803-1_Weekday-91,20150916,2
RJUN15-803-1_Weekday-91,20150917,2
RJUN15-803-1_Weekday-91,20150921,2
RJUN15-803-1_Weekday-91,20150922,2
RJUN15-803-1_Weekday-91,20150923,2
RJUN15-803-1_Weekday-91,20150924,2
RJUN15-803-1_Weekday-91,20150928,2
RJUN15-803-1_Weekday-91,20150929,2
RJUN15-803-1_Weekday-91,20150930,2
RJUN15-803-1_Weekday-91,20151001,2
RJUN15-803-1_Weekday-91,20151005,2
RJUN15-803-1_Weekday-91,20151006,2
RJUN15-803-1_Weekday-91,20151007,2
RJUN15-803-1_Weekday-91,20151008,2
RJUN15-803-1_Weekday-91,20151012,2
RJUN15-803-1_Weekday-91,20151013,2
RJUN15-803-1_Weekday-91,20151014,2
RJUN15-803-1_Weekday-91,20151015,2
RJUN15-803-1_Weekday-91,20151019,2
RJUN15-803-1_Weekday-91,20151020,2
RJUN15-803-1_Weekday-91,20151021,2
RJUN15-803-1_Weekday-91,20151022,2
RJUN15-803-1_Weekday-91,20151026,2
RJUN15-803-1_Weekday-91,20151027,2
RJUN15-803-1_Weekday-91,20151028,2
RJUN15-803-1_Weekday-91,20151029,2
RJUN15-803-1_Weekday-91,20151102,2
RJUN15-803-1_Weekday-91,20151103,2
RJUN15-803-1_Weekday-91,20151104,2
RJUN15-803-1_Weekday-91,20151105,2
RJUN15-803-1_Weekday-91,20151109,2
RJUN15-803-1_Weekday-91,20151110,2
